order_id,order_date,ship_date,region,state,city,sales_channel,customer_segment,category,sub_category,product_name,units_sold,unit_price,unit_cost,discount_pct,marketing_spend,inventory_days,returned,customer_rating
ORD-100048,2024-05-10,2024-05-12,East,West Bengal,Kolkata,Retail Store,Home Office,Technology,Phones,5G Smartphone,5,937.95,737.56,0.2,72.07,13,0,3.3
ORD-100049,2024-07-22,2024-07-27,West,Maharashtra,Mumbai,Online,Corporate,Technology,Accessories,Wireless Headset,2,1386.82,1042.96,0.1,93.41,18,0,4.2
ORD-100050,2024-07-09,2024-07-12,West,Maharashtra,Mumbai,Distributor,Corporate,Furniture,Tables,Standing Desk,10,707.61,545.74,0.0,51.9,18,0,4.7
ORD-100051,2023-05-23,2023-05-30,North,Haryana,Gurugram,Online,Home Office,Furniture,Chairs,Ergonomic Chair,4,328.94,214.24,0.15,34.78,10,0,4.4
ORD-100052,2023-09-24,2023-09-28,East,Odisha,Bhubaneswar,Retail Store,Consumer,Technology,Phones,5G Smartphone,6,1172.38,607.58,0.2,99.34,23,0,4.5
ORD-100053,2023-12-08,2023-12-12,South,Telangana,Hyderabad,Retail Store,Consumer,Technology,Phones,5G Smartphone,4,1253.29,899.01,0.2,98.08,18,0,4.0
ORD-100054,2023-12-30,2024-01-01,East,Odisha,Bhubaneswar,Retail Store,Small Business,Technology,Laptops,Business Laptop,6,861.79,389.08,0.0,37.11,12,0,4.3
ORD-100055,2023-02-02,2023-02-07,West,Gujarat,Ahmedabad,Retail Store,Consumer,Technology,Accessories,Wireless Headset,4,787.35,517.64,0.15,83.97,16,0,5.0
ORD-100056,2024-02-04,2024-02-06,West,Maharashtra,Mumbai,Online,Consumer,Office Supplies,Paper,Printer Paper,4,21.92,15.99,0.05,52.83,26,0,4.5
ORD-100057,2023-04-23,2023-04-30,South,Telangana,Hyderabad,Retail Store,Consumer,Technology,Laptops,Business Laptop,3,1464.35,789.25,0.05,33.23,18,0,4.3
ORD-100058,2024-06-27,2024-07-01,South,Telangana,Hyderabad,Online,Corporate,Office Supplies,Appliances,Label Printer,3,107.91,68.01,0.0,20.4,32,1,4.9
ORD-100059,2024-05-14,2024-05-18,North,Haryana,Gurugram,Online,Home Office,Office Supplies,Binders,Ring Binder,2,213.17,115.18,0.1,85.27,13,0,4.0
ORD-100060,2024-11-05,2024-11-11,East,West Bengal,Kolkata,Online,Small Business,Office Supplies,Appliances,Label Printer,10,231.23,125.35,0.1,93.26,14,0,3.3
ORD-100061,2024-06-28,2024-07-01,North,Punjab,Ludhiana,Online,Home Office,Office Supplies,Appliances,Label Printer,2,30.73,21.98,0.05,106.4,20,0,4.3
ORD-100062,2023-09-26,2023-09-28,South,Tamil Nadu,Chennai,Retail Store,Home Office,Technology,Phones,5G Smartphone,4,250.82,186.19,0.1,47.07,21,0,3.9
ORD-100063,2024-12-08,2024-12-10,East,Odisha,Bhubaneswar,Online,Consumer,Office Supplies,Binders,Ring Binder,3,62.02,39.95,0.2,115.62,17,0,3.7
ORD-100064,2023-10-28,2023-11-02,North,Delhi,New Delhi,Online,Corporate,Furniture,Tables,Standing Desk,4,336.16,153.78,0.0,83.27,18,1,4.6
ORD-100065,2023-08-27,2023-08-30,North,Haryana,Gurugram,Online,Consumer,Technology,Phones,5G Smartphone,6,166.0,91.33,0.05,112.92,7,0,5.0
ORD-100066,2024-10-23,2024-10-27,South,Telangana,Hyderabad,Online,Corporate,Technology,Accessories,Wireless Headset,8,1164.07,706.46,0.05,50.34,17,0,4.6
ORD-100067,2023-09-28,2023-10-04,North,Delhi,New Delhi,Online,Consumer,Technology,Phones,5G Smartphone,5,1037.77,545.21,0.0,23.19,10,0,4.1
ORD-100068,2023-02-25,2023-02-26,West,Gujarat,Ahmedabad,Online,Consumer,Office Supplies,Appliances,Label Printer,2,223.65,121.73,0.0,82.96,16,0,4.6
ORD-100069,2023-12-10,2023-12-12,North,Punjab,Ludhiana,Distributor,Consumer,Technology,Laptops,Business Laptop,9,822.3,490.49,0.05,67.06,23,0,4.2
ORD-100070,2024-08-04,2024-08-08,East,West Bengal,Kolkata,Online,Corporate,Furniture,Chairs,Ergonomic Chair,5,109.54,59.97,0.05,81.4,34,0,3.7
ORD-100071,2023-05-19,2023-05-23,North,Delhi,New Delhi,Online,Corporate,Technology,Accessories,Wireless Headset,3,1539.36,731.98,0.1,118.8,20,0,4.3
ORD-100072,2023-12-05,2023-12-08,North,Haryana,Gurugram,Online,Consumer,Technology,Phones,5G Smartphone,3,1531.7,800.9,0.0,32.25,13,0,3.6
ORD-100073,2023-04-05,2023-04-06,West,Maharashtra,Mumbai,Online,Consumer,Technology,Laptops,Business Laptop,1,810.79,658.73,0.05,18.87,21,0,4.0
ORD-100074,2024-05-16,2024-05-20,North,Punjab,Ludhiana,Online,Consumer,Technology,Accessories,Wireless Headset,4,345.65,189.28,0.0,112.27,16,0,4.5
ORD-100075,2023-12-14,2023-12-17,West,Rajasthan,Jaipur,Online,Small Business,Technology,Laptops,Business Laptop,9,1067.76,635.65,0.05,103.15,17,0,3.0
ORD-100076,2023-08-30,2023-09-01,South,Tamil Nadu,Chennai,Online,Home Office,Technology,Laptops,Business Laptop,6,1345.73,1080.31,0.05,98.01,12,0,3.8
ORD-100077,2023-06-15,2023-06-17,South,Telangana,Hyderabad,Retail Store,Small Business,Office Supplies,Appliances,Label Printer,4,159.32,105.53,0.0,59.58,11,0,4.8
ORD-100078,2024-02-17,2024-02-20,West,Maharashtra,Mumbai,Retail Store,Corporate,Technology,Phones,5G Smartphone,1,1251.92,664.93,0.05,75.02,31,0,3.9
ORD-100079,2024-05-04,2024-05-07,South,Karnataka,Bengaluru,Online,Consumer,Technology,Accessories,Wireless Headset,9,992.47,624.18,0.2,97.8,16,0,3.4
ORD-100080,2024-11-18,2024-11-21,East,Odisha,Bhubaneswar,Online,Corporate,Office Supplies,Appliances,Label Printer,4,173.13,128.88,0.05,68.19,16,0,4.6
ORD-100081,2023-11-16,2023-11-17,South,Karnataka,Bengaluru,Online,Consumer,Technology,Phones,5G Smartphone,4,1463.39,770.81,0.1,40.83,13,0,4.0
ORD-100082,2023-04-28,2023-04-29,West,Gujarat,Ahmedabad,Retail Store,Home Office,Office Supplies,Binders,Ring Binder,10,221.32,165.66,0.0,24.73,13,0,4.4
ORD-100083,2024-08-31,2024-09-04,North,Haryana,Gurugram,Retail Store,Consumer,Technology,Phones,5G Smartphone,2,423.47,286.83,0.15,92.62,21,0,3.7
ORD-100084,2024-04-05,2024-04-07,South,Karnataka,Bengaluru,Retail Store,Consumer,Furniture,Chairs,Ergonomic Chair,2,641.31,291.93,0.05,26.81,16,0,4.7
ORD-100085,2024-05-26,2024-05-29,East,Bihar,Patna,Distributor,Consumer,Office Supplies,Paper,Printer Paper,2,133.51,92.45,0.15,101.09,6,0,5.0
ORD-100086,2023-03-13,2023-03-15,North,Punjab,Ludhiana,Retail Store,Corporate,Technology,Accessories,Wireless Headset,2,1372.35,853.76,0.2,40.69,9,0,4.3
ORD-100087,2023-08-17,2023-08-21,South,Tamil Nadu,Chennai,Distributor,Consumer,Office Supplies,Appliances,Label Printer,6,76.49,54.23,0.0,49.09,32,0,4.3
ORD-100088,2024-07-15,2024-07-22,East,Bihar,Patna,Online,Consumer,Technology,Phones,5G Smartphone,1,993.04,610.31,0.1,68.63,13,0,4.4
ORD-100089,2024-08-31,2024-09-02,North,Punjab,Ludhiana,Retail Store,Consumer,Technology,Phones,5G Smartphone,6,1037.12,794.27,0.05,100.67,21,0,3.4
ORD-100090,2023-11-15,2023-11-17,West,Gujarat,Ahmedabad,Distributor,Home Office,Office Supplies,Appliances,Label Printer,2,26.17,11.95,0.0,66.24,21,0,3.6
ORD-100091,2024-08-11,2024-08-14,East,Bihar,Patna,Retail Store,Small Business,Office Supplies,Binders,Ring Binder,1,215.27,151.95,0.2,44.53,7,0,4.9
ORD-100092,2024-09-07,2024-09-10,West,Gujarat,Ahmedabad,Online,Consumer,Furniture,Chairs,Ergonomic Chair,3,499.87,334.16,0.0,89.6,20,0,4.5
ORD-100093,2023-10-11,2023-10-14,South,Karnataka,Bengaluru,Retail Store,Consumer,Office Supplies,Appliances,Label Printer,4,160.28,93.44,0.05,29.84,18,0,4.0
ORD-100094,2024-10-18,2024-10-21,North,Haryana,Gurugram,Retail Store,Consumer,Furniture,Tables,Standing Desk,5,203.54,149.98,0.1,11.54,17,0,4.4
ORD-100095,2023-07-30,2023-08-01,West,Maharashtra,Mumbai,Online,Consumer,Technology,Phones,5G Smartphone,2,576.03,338.5,0.1,72.41,27,0,4.4
ORD-100096,2023-06-25,2023-06-27,East,Bihar,Patna,Online,Consumer,Technology,Accessories,Wireless Headset,4,1366.52,948.87,0.1,46.77,18,0,3.5
ORD-100097,2024-05-13,2024-05-19,South,Karnataka,Bengaluru,Distributor,Small Business,Technology,Accessories,Wireless Headset,2,1588.01,878.31,0.1,14.45,8,0,3.5
ORD-100098,2024-04-10,2024-04-12,South,Telangana,Hyderabad,Distributor,Home Office,Office Supplies,Binders,Ring Binder,4,130.73,99.96,0.2,21.79,19,0,3.5
ORD-100099,2023-04-13,2023-04-18,North,Haryana,Gurugram,Online,Home Office,Furniture,Tables,Standing Desk,3,700.17,467.66,0.1,106.52,7,0,4.0
ORD-100100,2024-08-31,2024-09-06,North,Haryana,Gurugram,Online,Consumer,Technology,Laptops,Business Laptop,7,1260.5,791.78,0.1,19.91,21,0,4.2
ORD-100101,2023-05-27,2023-05-31,East,Bihar,Patna,Distributor,Consumer,Technology,Phones,5G Smartphone,4,224.32,157.03,0.05,92.07,16,0,4.3
ORD-100102,2024-08-11,2024-08-16,North,Haryana,Gurugram,Online,Corporate,Technology,Accessories,Wireless Headset,3,972.3,496.08,0.05,103.35,19,0,5.0
ORD-100103,2023-01-06,2023-01-09,East,Bihar,Patna,Distributor,Corporate,Office Supplies,Appliances,Label Printer,7,58.61,47.58,0.05,30.0,12,0,3.3
ORD-100104,2024-08-05,2024-08-10,West,Rajasthan,Jaipur,Retail Store,Small Business,Office Supplies,Paper,Printer Paper,4,84.32,46.89,0.0,70.42,13,0,4.6
ORD-100105,2024-07-29,2024-08-04,North,Punjab,Ludhiana,Online,Consumer,Office Supplies,Binders,Ring Binder,2,84.97,46.77,0.1,15.83,26,0,4.3
ORD-100106,2024-07-24,2024-07-30,South,Tamil Nadu,Chennai,Online,Corporate,Technology,Laptops,Business Laptop,7,304.18,236.16,0.0,73.17,13,0,4.3
ORD-100107,2024-05-01,2024-05-05,South,Tamil Nadu,Chennai,Retail Store,Home Office,Technology,Accessories,Wireless Headset,3,171.68,86.29,0.0,24.56,21,0,3.6
ORD-100108,2023-12-11,2023-12-16,East,West Bengal,Kolkata,Online,Consumer,Technology,Phones,5G Smartphone,7,1109.51,714.77,0.15,117.53,27,0,3.8
ORD-100109,2024-05-30,2024-06-01,North,Delhi,New Delhi,Retail Store,Consumer,Office Supplies,Binders,Ring Binder,4,126.52,63.89,0.05,69.74,19,0,4.8
ORD-100110,2023-07-22,2023-07-23,West,Rajasthan,Jaipur,Distributor,Consumer,Technology,Phones,5G Smartphone,6,314.18,167.61,0.15,41.45,22,0,3.5
ORD-100111,2024-07-24,2024-07-29,North,Delhi,New Delhi,Retail Store,Corporate,Technology,Phones,5G Smartphone,5,1499.53,1186.32,0.1,58.22,19,0,3.6
ORD-100112,2024-02-11,2024-02-16,South,Tamil Nadu,Chennai,Distributor,Consumer,Furniture,Chairs,Ergonomic Chair,1,433.1,239.07,0.1,43.95,33,1,4.8
ORD-100113,2023-12-02,2023-12-05,West,Gujarat,Ahmedabad,Online,Consumer,Office Supplies,Paper,Printer Paper,1,82.64,42.74,0.0,62.71,27,0,3.8
ORD-100114,2024-01-05,2024-01-09,East,Bihar,Patna,Online,Consumer,Technology,Accessories,Wireless Headset,7,143.56,93.32,0.1,88.6,19,0,4.4
ORD-100115,2024-02-20,2024-02-24,South,Telangana,Hyderabad,Retail Store,Consumer,Office Supplies,Appliances,Label Printer,6,45.88,35.57,0.05,40.24,24,0,3.5
ORD-100116,2023-01-28,2023-02-02,West,Maharashtra,Mumbai,Online,Consumer,Office Supplies,Paper,Printer Paper,2,154.95,71.06,,65.59,17,0,4.2
ORD-100117,2023-04-13,2023-04-18,North,Delhi,New Delhi,Online,Corporate,Furniture,Tables,Standing Desk,5,637.95,372.87,0.0,75.65,25,0,3.6
ORD-100118,2023-06-29,2023-07-01,South,Tamil Nadu,Chennai,Distributor,Consumer,Technology,Accessories,Wireless Headset,4,446.9,332.13,0.1,41.73,19,0,3.2
ORD-100119,2023-03-25,2023-03-28,West,Gujarat,Ahmedabad,Retail Store,Corporate,Technology,Laptops,Business Laptop,8,696.71,540.31,0.1,47.55,10,0,3.8
ORD-100120,2023-11-18,2023-11-23,West,Maharashtra,Mumbai,Online,Home Office,Furniture,Chairs,Ergonomic Chair,4,123.75,100.73,0.1,98.07,14,0,4.0
ORD-100121,2024-05-03,2024-05-07,North,Haryana,Gurugram,Retail Store,Corporate,Technology,Accessories,Wireless Headset,3,1177.67,741.88,0.0,35.92,17,0,4.6
ORD-100122,2024-04-23,2024-04-30,North,Delhi,New Delhi,Online,Home Office,Office Supplies,Paper,Printer Paper,5,81.47,41.5,0.05,46.61,18,0,3.9
ORD-100123,2023-12-11,2023-12-15,West,Gujarat,Ahmedabad,Retail Store,Consumer,Furniture,Tables,Standing Desk,2,584.49,406.39,0.15,28.33,16,0,3.9
ORD-100124,2024-09-17,2024-09-22,North,Punjab,Ludhiana,Retail Store,Consumer,Technology,Phones,5G Smartphone,4,1009.26,767.82,0.15,79.25,19,0,4.8
ORD-100125,2024-02-18,2024-02-23,North,Haryana,Gurugram,Online,Small Business,Technology,Accessories,Wireless Headset,4,1429.08,722.79,0.05,53.77,10,1,4.7
ORD-100126,2023-02-27,2023-03-05,North,Haryana,Gurugram,Online,Consumer,Furniture,Tables,Standing Desk,3,574.17,294.2,0.0,43.23,16,1,4.0
ORD-100127,2024-07-13,2024-07-16,South,Tamil Nadu,Chennai,Distributor,Consumer,Technology,Laptops,Business Laptop,5,638.0,424.33,0.05,15.67,15,0,4.2
ORD-100128,2024-02-25,2024-02-26,South,Karnataka,Bengaluru,Retail Store,Small Business,Technology,Accessories,Wireless Headset,8,153.74,94.81,0.0,41.69,19,0,4.6
ORD-100129,2024-04-08,2024-04-12,North,Delhi,New Delhi,Online,Consumer,Furniture,Storage,Office Cabinet,3,433.95,284.0,0.0,58.34,8,1,3.7
ORD-100130,2024-02-18,2024-02-19,South,Tamil Nadu,Chennai,Distributor,Consumer,Furniture,Storage,Office Cabinet,1,771.07,507.59,0.05,112.24,15,0,3.9
ORD-100131,2024-02-09,2024-02-13,West,Maharashtra,Mumbai,Retail Store,Consumer,Furniture,Chairs,Ergonomic Chair,1,346.3,214.16,0.05,119.03,11,0,3.6
ORD-100132,2023-03-08,2023-03-10,West,Maharashtra,Mumbai,Online,Home Office,Technology,Laptops,Business Laptop,3,378.1,170.74,0.1,68.11,15,0,4.1
ORD-100133,2024-02-13,2024-02-16,North,Haryana,Gurugram,Online,Consumer,Office Supplies,Binders,Ring Binder,5,89.24,65.03,0.1,38.3,23,0,3.6
ORD-100134,2024-08-04,2024-08-09,East,West Bengal,Kolkata,Online,Consumer,Technology,Laptops,Business Laptop,5,675.17,334.47,0.0,71.69,11,0,5.0
ORD-100135,2023-08-11,2023-08-14,North,Delhi,New Delhi,Online,Consumer,Office Supplies,Paper,Printer Paper,5,139.91,70.14,0.05,43.65,19,0,3.9
ORD-100136,2024-03-16,2024-03-20,East,West Bengal,Kolkata,Online,Small Business,Technology,Phones,5G Smartphone,6,407.12,206.53,0.15,50.53,15,0,3.2
ORD-100137,2023-01-23,2023-01-24,East,Odisha,Bhubaneswar,Online,Consumer,Office Supplies,Appliances,Label Printer,5,236.82,139.72,0.0,22.35,19,0,3.7
ORD-100138,2023-09-12,2023-09-16,East,Odisha,Bhubaneswar,Online,Consumer,Office Supplies,Appliances,Label Printer,4,176.97,101.6,0.0,79.55,35,0,4.2
ORD-100139,2023-11-16,2023-11-18,West,Rajasthan,Jaipur,Online,Home Office,Technology,Phones,5G Smartphone,2,605.65,466.12,0.0,25.98,19,0,3.6
ORD-100140,2024-12-19,2024-12-23,West,Maharashtra,Mumbai,Retail Store,Corporate,Technology,Laptops,Business Laptop,6,182.66,102.35,0.0,89.58,26,0,4.7
ORD-100141,2023-06-06,2023-06-14,West,Rajasthan,Jaipur,Retail Store,Corporate,Office Supplies,Appliances,Label Printer,5,213.43,171.21,0.05,96.25,22,0,4.2
ORD-100142,2023-07-22,2023-07-23,West,Maharashtra,Mumbai,Online,Consumer,Office Supplies,Paper,Printer Paper,5,29.78,15.5,0.05,112.32,12,0,3.3
ORD-100143,2023-10-26,2023-10-30,South,Karnataka,Bengaluru,Online,Consumer,Office Supplies,Paper,Printer Paper,2,137.13,98.71,0.05,27.98,12,0,4.3
ORD-100144,2024-12-26,2025-01-01,West,Maharashtra,Mumbai,Retail Store,Consumer,Technology,Phones,5G Smartphone,4,1282.46,883.64,0.2,99.91,23,0,4.9
ORD-100145,2024-09-15,2024-09-19,West,Maharashtra,Mumbai,Retail Store,Home Office,Office Supplies,Paper,Printer Paper,3,179.91,144.9,0.05,100.93,8,0,3.6
ORD-100146,2023-01-26,2023-01-27,North,Haryana,Gurugram,Retail Store,Consumer,Furniture,Storage,Office Cabinet,3,170.77,123.6,0.0,99.07,19,0,4.2
ORD-100147,2023-06-21,2023-06-24,East,Bihar,Patna,Online,Home Office,Office Supplies,Paper,Printer Paper,2,15.96,7.18,0.05,50.28,17,1,4.0
ORD-100148,2024-08-23,2024-08-28,South,Telangana,Hyderabad,Retail Store,Consumer,Technology,Phones,5G Smartphone,5,497.25,244.5,0.1,106.24,26,0,4.0
ORD-100149,2023-02-12,2023-02-17,West,Maharashtra,Mumbai,Online,Home Office,Technology,Phones,5G Smartphone,3,335.46,181.93,0.05,84.09,19,1,4.3
ORD-100150,2024-09-17,2024-09-22,South,Telangana,Hyderabad,Online,Consumer,Office Supplies,Binders,Ring Binder,4,147.64,99.21,0.1,41.91,26,0,4.4
ORD-100151,2023-07-25,2023-07-28,South,Tamil Nadu,Chennai,Online,Consumer,Office Supplies,Paper,Printer Paper,4,33.28,17.13,0.2,37.18,12,0,3.8
ORD-100152,2024-11-01,2024-11-06,South,Tamil Nadu,Chennai,Retail Store,Consumer,Technology,Accessories,Wireless Headset,6,600.02,481.05,0.1,42.41,6,0,4.4
ORD-100153,2023-08-03,2023-08-05,West,Maharashtra,Mumbai,Online,Corporate,Office Supplies,Binders,Ring Binder,4,136.05,89.24,0.0,75.77,12,0,4.6
ORD-100154,2023-11-14,2023-11-19,West,Rajasthan,Jaipur,Online,Consumer,Furniture,Chairs,Ergonomic Chair,3,606.15,275.1,0.1,90.83,20,0,4.4
ORD-100155,2024-04-28,2024-05-01,North,Haryana,Gurugram,Online,Small Business,Office Supplies,Paper,Printer Paper,2,193.3,143.05,0.05,78.5,25,0,3.8
ORD-100156,2023-04-03,2023-04-07,South,Telangana,Hyderabad,Distributor,Corporate,Technology,Phones,5G Smartphone,4,1225.15,790.83,0.0,33.09,21,0,4.2
