order_id,order_date,ship_date,region,state,city,sales_channel,customer_segment,category,sub_category,product_name,units_sold,unit_price,unit_cost,discount_pct,marketing_spend,inventory_days,returned,customer_rating,gross_sales,unit_price_zscore,unit_cost_zscore,marketing_spend_zscore,inventory_days_zscore
ORD-102400,2023-01-05,2023-01-09,South,Tamil Nadu,Chennai,Retail Store,Corporate,Technology,Laptops,Business Laptop,7,1280.68,1044.36,0.05,94.93,16,0,3.4,8964.76,1.745858165858993,2.517292559935663,0.972418704064425,-0.2593434640305474
ORD-100464,2023-01-05,2023-01-10,North,Punjab,Ludhiana,Online,Home Office,Office Supplies,Paper,Printer Paper,7,117.29,93.28,0.2,63.48,21,0,4.4,821.0300000000001,-0.9018093943421274,-0.8098185688986483,-0.019769821710914952,0.5719921688408064
ORD-104884,2023-01-05,2023-01-11,North,Delhi,New Delhi,Online,Consumer,Office Supplies,Binders,Ring Binder,1,130.57,97.1,0.05,112.84,17,0,3.5,130.57,-0.8715864895557094,-0.79645527189719,1.5374456196967408,-0.09307633745627664
ORD-104054,2023-01-05,2023-01-07,South,Telangana,Hyderabad,Online,Home Office,Office Supplies,Binders,Ring Binder,4,50.63,32.35,0.2,61.83,14,0,4.7,202.52,-1.053515631771542,-1.0229666543171985,-0.07182422767369107,-0.5918777171790889
ORD-103398,2023-01-06,2023-01-11,North,Punjab,Ludhiana,Retail Store,Consumer,Technology,Phones,5G Smartphone,5,1088.32,597.25,0.0,41.78,18,0,3.7,5441.599999999999,1.3080812106846422,0.9531921090660109,-0.7043641304334862,0.07319078911799412
ORD-100574,2023-01-06,2023-01-11,South,Tamil Nadu,Chennai,Retail Store,Corporate,Office Supplies,Appliances,Label Printer,3,34.35,17.4,0.0,92.92,18,0,2.9,103.05000000000001,-1.0905659999886268,-1.07526542137788,0.9090069731643157,0.07319078911799412
ORD-101278,2023-01-06,2023-01-09,North,Delhi,New Delhi,Distributor,Small Business,Office Supplies,Appliances,Label Printer,5,230.89,147.27,0.1,22.85,15,0,3.9,1154.4499999999998,-0.6432761124342141,-0.6209483057811771,-1.3015701333882455,-0.42561059060481815
ORD-104688,2023-01-06,2023-01-12,East,Odisha,Bhubaneswar,Online,Consumer,Technology,Accessories,Wireless Headset,4,130.0,104.69,0.15,33.24,24,0,3.8,520.0,-0.8728837076075361,-0.7699035901586901,-0.9737851164468853,1.0707935485636186
ORD-102201,2023-01-06,2023-01-10,West,Gujarat,Ahmedabad,Retail Store,Home Office,Office Supplies,Appliances,Label Printer,5,60.25,29.38,0.0,72.27,12,0,3.3,301.25,-1.0316222323705375,-1.033356442823568,0.2575381955089653,-0.9244119703276305
ORD-100103,2023-01-06,2023-01-09,East,Bihar,Patna,Distributor,Corporate,Office Supplies,Appliances,Label Printer,7,58.61,47.58,0.05,30.0,12,0,3.3,410.27,-1.0353545790459686,-0.9696883785757818,-1.0760010408828822,-0.9244119703276305
ORD-101189,2023-01-06,2023-01-10,West,Gujarat,Ahmedabad,Retail Store,Home Office,Office Supplies,Appliances,Label Printer,6,228.48,177.71,0.15,113.3,18,0,3.7,1370.8799999999999,-0.648760841390183,-0.5144617192041107,1.5519577571166658,0.07319078911799412
ORD-100706,2023-01-06,2023-01-12,North,Delhi,New Delhi,Distributor,Home Office,Technology,Phones,5G Smartphone,4,1417.0,916.41,0.1,64.5,19,1,3.9,5668.0,2.056098104148489,2.0696920752925734,0.012409265611528593,0.23945791569226488
ORD-104360,2023-01-06,2023-01-10,North,Delhi,New Delhi,Retail Store,Consumer,Technology,Accessories,Wireless Headset,2,695.53,468.98,0.15,43.79,12,0,4.3,1391.06,0.41416142370744813,0.504472185930652,-0.6409523995333771,-0.9244119703276305
ORD-101531,2023-01-07,2023-01-12,West,Gujarat,Ahmedabad,Online,Home Office,Technology,Accessories,Wireless Headset,6,1489.21,973.56,0.05,18.37,26,0,4.5,8935.26,2.220435148924637,2.2696167935211986,-1.4429057326083892,1.4033278017121602
ORD-101806,2023-01-07,2023-01-11,North,Punjab,Ludhiana,Online,Home Office,Office Supplies,Binders,Ring Binder,2,204.33,92.73,0.05,115.81,23,0,3.3,408.66,-0.7037219220070501,-0.8117426038072353,1.6311435504297378,0.904526421989348
ORD-101174,2023-01-07,2023-01-12,North,Delhi,New Delhi,Distributor,Consumer,Office Supplies,Appliances,Label Printer,2,75.05,42.7,0.05,17.72,9,0,4.8,150.1,-0.9979400794459149,-0.9867598155828805,-1.4634120137452404,-1.4232133500504427
ORD-103724,2023-01-07,2023-01-12,East,Bihar,Patna,Retail Store,Corporate,Office Supplies,Paper,Printer Paper,4,92.31,50.13,0.05,22.64,6,0,3.8,369.24,-0.9586594065081456,-0.960767853090515,-1.3081952396016896,-1.922014729773255
ORD-102442,2023-01-07,2023-01-10,South,Karnataka,Bengaluru,Retail Store,Corporate,Office Supplies,Appliances,Label Printer,4,219.13,168.15,0.1,82.67,31,0,3.4,876.52,-0.6700397690824277,-0.5479049441606401,0.5856386936985849,2.234663434583514
ORD-104767,2023-01-07,2023-01-09,North,Haryana,Gurugram,Retail Store,Consumer,Furniture,Tables,Standing Desk,4,587.63,277.22,0.1,117.17,19,0,4.6,2350.52,0.16860032231780164,-0.1663513305614071,1.6740490001929955,0.23945791569226488
ORD-104130,2023-01-07,2023-01-12,South,Tamil Nadu,Chennai,Distributor,Consumer,Office Supplies,Paper,Printer Paper,3,124.86,61.0,0.1,100.91,16,0,4.1,374.58,-0.8845814282854116,-0.9227419268062603,1.1610764905234559,-0.2593434640305474
ORD-101069,2023-01-08,2023-01-11,West,Rajasthan,Jaipur,Distributor,Consumer,Office Supplies,Appliances,Label Printer,5,111.88,82.34,0.1,30.64,20,0,4.4,559.4,-0.9141215867287631,-0.8480893723530869,-1.0558102409942902,0.40572504226653566
ORD-101762,2023-01-08,2023-01-13,South,Tamil Nadu,Chennai,Distributor,Corporate,Office Supplies,Appliances,Label Printer,2,65.48,32.2,0.15,58.67,13,0,4.1,130.96,-1.0197196877897416,-1.0234913911104495,-0.1715163021236138,-0.7581448437533597
ORD-104787,2023-01-08,2023-01-09,East,West Bengal,Kolkata,Online,Corporate,Office Supplies,Appliances,Label Printer,4,39.09,23.2,0.05,103.33,9,0,4.3,156.36,-1.0797786077681732,-1.0549755987055085,1.2374229526021943,-1.4232133500504427
ORD-103798,2023-01-08,2023-01-14,North,Punjab,Ludhiana,Online,Consumer,Technology,Accessories,Wireless Headset,2,160.05,125.38,0.05,98.87,36,0,4.7,320.1,-0.804495282243691,-0.6975248951429376,1.0967183158785692,3.0659990674548676
ORD-100302,2023-01-08,2023-01-13,West,Maharashtra,Mumbai,Retail Store,Consumer,Technology,Phones,5G Smartphone,4,1081.17,701.08,0.0,42.89,11,0,3.8,4324.68,1.2918090895082202,1.316414917354343,-0.6693457118767095,-1.0906790969019011
ORD-104392,2023-01-09,2023-01-10,North,Punjab,Ludhiana,Online,Consumer,Office Supplies,Binders,Ring Binder,2,200.53,133.16,0.0,53.32,7,0,5.0,401.06,-0.7123700423525614,-0.6703085467996532,-0.3402987699423123,-1.7557476031989843
ORD-100800,2023-01-09,2023-01-14,North,Delhi,New Delhi,Online,Small Business,Technology,Laptops,Business Laptop,3,369.23,172.61,0.15,64.27,12,1,3.8,1107.69,-0.32843901543473586,-0.5323027701746441,0.005153196901565729,-0.9244119703276305
ORD-103821,2023-01-09,2023-01-13,North,Haryana,Gurugram,Retail Store,Small Business,Office Supplies,Binders,Ring Binder,5,116.12,74.9,0.1,25.6,21,1,4.0,580.6,-0.9044721050800875,-0.8741163172983357,-1.2148127901169519,0.5719921688408064
ORD-103903,2023-01-09,2023-01-10,South,Tamil Nadu,Chennai,Retail Store,Consumer,Technology,Laptops,Business Laptop,5,1127.92,613.71,0.05,37.7,19,1,4.4,5639.6,1.3982037279694433,1.0107732265120857,-0.8330804797232599,0.23945791569226488
ORD-100789,2023-01-09,2023-01-11,North,Punjab,Ludhiana,Online,Small Business,Office Supplies,Binders,Ring Binder,3,114.88,91.15,0.2,25.29,20,0,3.5,344.64,-0.9072941232980963,-0.8172698313628124,-1.2245927088129887,0.40572504226653566
ORD-101681,2023-01-10,2023-01-13,East,Odisha,Bhubaneswar,Retail Store,Home Office,Technology,Phones,5G Smartphone,3,1442.19,948.33,0.05,27.81,18,0,3.3,4326.57,2.1134260387546537,2.181356064896383,-1.1450914342516576,0.07319078911799412
ORD-104045,2023-01-11,2023-01-16,East,Bihar,Patna,Distributor,Consumer,Office Supplies,Paper,Printer Paper,1,15.38,8.45,0.05,90.89,19,0,4.1,15.38,-1.1337383270818762,-1.106574716708522,0.844964279767688,0.23945791569226488
ORD-101037,2023-01-11,2023-01-12,North,Haryana,Gurugram,Online,Corporate,Furniture,Tables,Standing Desk,9,115.32,72.82,0.05,58.2,19,0,3.1,1037.8799999999999,-0.9062927619949319,-0.8813926674980828,-0.18634392079179848,0.23945791569226488
ORD-103102,2023-01-11,2023-01-13,West,Rajasthan,Jaipur,Retail Store,Small Business,Technology,Phones,5G Smartphone,5,554.55,314.44,0.0,107.04,16,0,4.9,2772.75,0.09331615888898312,-0.03614664092939615,1.3544664957063761,-0.2593434640305474
ORD-104229,2023-01-11,2023-01-16,West,Rajasthan,Jaipur,Online,Corporate,Technology,Accessories,Wireless Headset,6,218.87,100.89,0.15,65.42,11,0,4.2,1313.22,-0.6706314825797521,-0.7831969222543818,0.0414335404513796,-1.0906790969019011
ORD-101120,2023-01-11,2023-01-13,North,Haryana,Gurugram,Online,Consumer,Technology,Laptops,Business Laptop,6,776.95,394.38,0.15,84.34,17,0,4.4,4661.700000000001,0.5994587812157431,0.24350308742049542,0.6383240621578796,-0.09307633745627664
ORD-100838,2023-01-11,2023-01-14,East,Bihar,Patna,Distributor,Corporate,Furniture,Storage,Office Cabinet,3,800.2,538.92,0.2,93.16,13,0,5.0,2400.6000000000004,0.6523716228034103,0.7491394613971444,0.9165785231225375,-0.7581448437533597
ORD-100409,2023-01-11,2023-01-14,West,Gujarat,Ahmedabad,Distributor,Small Business,Furniture,Storage,Office Cabinet,5,322.52,236.61,0.0,72.03,24,0,3.8,1612.6,-0.4347426210502168,-0.3084150717208905,0.2499666455507435,1.0707935485636186
ORD-104930,2023-01-11,2023-01-17,West,Maharashtra,Mumbai,Online,Corporate,Technology,Accessories,Wireless Headset,6,1309.76,717.67,0.05,97.02,22,0,5.0,7858.5599999999995,1.8120390447135888,1.3744508066879015,1.0383542849506078,0.7382592954150772
ORD-104103,2023-01-12,2023-01-17,West,Rajasthan,Jaipur,Online,Corporate,Technology,Accessories,Wireless Headset,4,1124.76,710.11,0.0,67.37,15,0,3.1,4499.04,1.3910121331558076,1.348004072308052,0.10295238386193334,-0.42561059060481815
ORD-100888,2023-01-12,2023-01-17,South,Telangana,Hyderabad,Online,Consumer,Technology,Phones,5G Smartphone,4,1276.09,866.76,0.15,24.84,15,0,3.6,5104.36,1.7354121468100725,1.8960041967264973,-1.2387893649846546,-0.42561059060481815
ORD-103135,2023-01-12,2023-01-16,North,Punjab,Ludhiana,Online,Consumer,Technology,Phones,5G Smartphone,5,140.12,77.31,0.15,110.38,8,0,4.8,700.6,-0.8498523976347536,-0.8656855461534365,1.4598372326249651,-1.5894804766247135
ORD-101365,2023-01-13,2023-01-17,West,Rajasthan,Jaipur,Retail Store,Small Business,Technology,Phones,5G Smartphone,5,1232.84,818.32,0.0,99.64,24,0,3.5,6164.2,1.636982882351294,1.7265491949593128,1.1210103719945312,1.0707935485636186
ORD-104504,2023-01-13,2023-01-18,South,Karnataka,Bengaluru,Online,Home Office,Technology,Accessories,Wireless Headset,8,1066.43,582.01,0.0,90.68,26,0,4.4,8531.44,1.258263485852211,0.8998788508717108,0.8383391735542439,1.4033278017121602
ORD-103504,2023-01-13,2023-01-16,South,Karnataka,Bengaluru,Distributor,Consumer,Technology,Accessories,Wireless Headset,6,1445.55,776.38,0.0,42.03,20,0,3.8,8673.3,2.1210727977970003,1.5798327875663372,-0.696477099227005,0.40572504226653566
ORD-101623,2023-01-13,2023-01-19,East,West Bengal,Kolkata,Online,Home Office,Furniture,Storage,Office Cabinet,7,651.6,398.22,0.0,54.25,19,0,4.0,4561.2,0.3141846008710518,0.25693634932772075,-0.3109590138542021,0.23945791569226488
ORD-102974,2023-01-13,2023-01-16,West,Rajasthan,Jaipur,Online,Consumer,Technology,Laptops,Business Laptop,6,154.58,95.92,0.05,26.63,11,0,4.4,927.48,-0.8169440238989399,-0.800583201337431,-1.1823182215462493,-1.0906790969019011
ORD-104116,2023-01-14,2023-01-17,West,Rajasthan,Jaipur,Online,Consumer,Technology,Laptops,Business Laptop,2,726.82,457.32,0.15,84.56,18,0,4.3,1453.64,0.4853718672893022,0.4636826458686087,0.6452646496195831,0.07319078911799412
ORD-101651,2023-01-14,2023-01-20,North,Haryana,Gurugram,Retail Store,Home Office,Technology,Accessories,Wireless Headset,6,328.57,267.87,0.15,107.93,18,0,5.0,1971.42,-0.4209739031317056,-0.19905992400738526,1.3825443268014492,0.07319078911799412
ORD-101593,2023-01-14,2023-01-17,East,Bihar,Patna,Retail Store,Small Business,Furniture,Tables,Standing Desk,1,527.72,330.95,0.15,98.09,26,0,3.8,527.72,0.03225587760738722,0.02160938878109556,1.0721107785143478,1.4033278017121602
ORD-100414,2023-01-14,2023-01-17,North,Delhi,New Delhi,Online,Small Business,Technology,Phones,5G Smartphone,4,1504.8,845.07,0.1,21.16,22,0,3.8,6019.2,2.255915200552668,1.8201272564224051,-1.3548864643440588,0.7382592954150772
ORD-104526,2023-01-14,2023-01-16,East,Bihar,Patna,Online,Consumer,Technology,Accessories,Wireless Headset,5,1429.39,1000.44,0.05,73.6,9,0,4.0,7146.950000000001,2.0842955281171425,2.3636496268717755,0.2994972015274454,-1.4232133500504427
ORD-100477,2023-01-14,2023-01-17,South,Telangana,Hyderabad,Distributor,Consumer,Technology,Accessories,Wireless Headset,5,765.36,368.79,0.1,87.58,14,0,3.9,3826.8,0.5730820141619339,0.15398299049187747,0.7405399865938763,-0.5918777171790889
ORD-103857,2023-01-14,2023-01-16,East,West Bengal,Kolkata,Retail Store,Corporate,Furniture,Chairs,Ergonomic Chair,4,548.69,384.73,0.15,56.05,27,0,3.6,2194.76,0.07997984698774768,0.20974502038801549,-0.2541723891675373,1.569594928286431
ORD-103897,2023-01-14,2023-01-18,East,Bihar,Patna,Online,Small Business,Office Supplies,Appliances,Label Printer,3,154.77,78.89,0.0,33.64,14,1,3.7,464.31000000000006,-0.8165116178816645,-0.8601583185978596,-0.9611658665165153,-0.5918777171790889
ORD-100232,2023-01-15,2023-01-18,West,Rajasthan,Jaipur,Online,Corporate,Technology,Phones,5G Smartphone,4,765.9,363.72,0.05,38.66,9,0,3.9,3063.6,0.5743109575794539,0.1362468868799942,-0.8027942798903721,-1.4232133500504427
ORD-102089,2023-01-15,2023-01-20,North,Delhi,New Delhi,Online,Home Office,Technology,Phones,5G Smartphone,4,170.56,95.62,0.2,78.27,23,0,4.9,682.24,-0.780576402024922,-0.801632674923933,0.446826944464515,0.904526421989348
ORD-103787,2023-01-16,2023-01-20,North,Punjab,Ludhiana,Online,Corporate,Office Supplies,Appliances,Label Printer,3,224.76,131.29,0.1,46.89,8,0,3.4,674.28,-0.6572268960442098,-0.6768502654888489,-0.5431532125730097,-1.5894804766247135
ORD-103803,2023-01-16,2023-01-18,East,West Bengal,Kolkata,Online,Small Business,Office Supplies,Appliances,Label Printer,1,175.19,115.54,0.0,85.71,22,0,5.0,175.19,-0.7700393501302597,-0.7319476287802021,0.6815449931693965,0.7382592954150772
ORD-102170,2023-01-16,2023-01-20,West,Rajasthan,Jaipur,Retail Store,Consumer,Furniture,Chairs,Ergonomic Chair,1,478.82,352.08,0.1,39.43,17,0,4.2,478.82,-0.07903177631248047,0.09552731172371763,-0.7785022237744098,-0.09307633745627664
ORD-100299,2023-01-16,2023-01-19,North,Delhi,New Delhi,Online,Small Business,Office Supplies,Appliances,Label Printer,4,180.02,96.37,0.0,114.38,25,0,4.7,720.08,-0.7590471340068863,-0.7990089909576781,1.586029731928665,1.2370606751378894
ORD-101528,2023-01-16,2023-01-19,North,Haryana,Gurugram,Online,Corporate,Technology,Accessories,Wireless Headset,3,425.71,214.78,0.1,54.72,24,0,5.0,1277.1299999999999,-0.19990063724671708,-0.38478176636535055,-0.29613139518601744,1.0707935485636186
ORD-100539,2023-01-16,2023-01-21,West,Maharashtra,Mumbai,Online,Consumer,Technology,Accessories,Wireless Headset,2,787.6,496.14,0.05,64.27,31,0,3.6,1575.2,0.62369627639461,0.5994845279619636,0.005153196901565729,2.234663434583514
ORD-104562,2023-01-16,2023-01-18,North,Haryana,Gurugram,Distributor,Consumer,Technology,Laptops,Business Laptop,3,151.93,119.59,0.0,64.21,29,0,3.5,455.79,-0.8229749499293623,-0.7177797353624256,0.00326030941201016,1.9021291814349726
ORD-104061,2023-01-16,2023-01-19,East,Bihar,Patna,Retail Store,Home Office,Furniture,Chairs,Ergonomic Chair,5,608.83,490.35,0.15,51.1,22,0,4.3,3044.15,0.21684773056117992,0.5792296877424757,-0.41033560705586564,0.7382592954150772
ORD-100271,2023-01-17,2023-01-20,West,Rajasthan,Jaipur,Distributor,Consumer,Office Supplies,Binders,Ring Binder,3,226.45,113.79,0.05,86.02,14,0,4.7,679.3499999999999,-0.6533807583116009,-0.738069558034797,0.6913249118654333,-0.5918777171790889
ORD-100368,2023-01-17,2023-01-22,North,Punjab,Ludhiana,Retail Store,Corporate,Furniture,Storage,Office Cabinet,6,809.91,462.4,0.05,72.07,19,0,3.9,4859.46,0.6744698461073347,0.4814537319333754,0.2512285705437802,0.23945791569226488
ORD-100169,2023-01-17,2023-01-20,West,Maharashtra,Mumbai,Retail Store,Consumer,Technology,Phones,5G Smartphone,2,902.94,604.97,0.15,95.49,8,0,3.8,1805.88,0.88618948709231,0.980198562691995,0.9900856539669426,-1.5894804766247135
ORD-104075,2023-01-17,2023-01-22,West,Maharashtra,Mumbai,Online,Small Business,Technology,Accessories,Wireless Headset,3,477.22,263.43,0.1,103.64,16,0,3.9,1431.66,-0.08267309014216931,-0.2145921330876144,1.247202871298231,-0.2593434640305474
ORD-102137,2023-01-17,2023-01-19,East,Bihar,Patna,Retail Store,Corporate,Furniture,Storage,Office Cabinet,3,852.51,539.59,0.15,57.37,15,0,3.5,2557.5299999999997,0.7714198268228023,0.7514832857403324,-0.21252886439731636,-0.42561059060481815
ORD-103804,2023-01-17,2023-01-18,West,Maharashtra,Mumbai,Online,Small Business,Technology,Phones,5G Smartphone,2,1334.27,766.14,0.05,68.34,8,0,3.7,2668.54,1.867819420942136,1.5440107558137366,0.1335540649430805,-1.5894804766247135
ORD-101166,2023-01-17,2023-01-21,West,Gujarat,Ahmedabad,Online,Consumer,Furniture,Tables,Standing Desk,2,796.25,527.08,0.05,91.72,13,0,4.4,1592.5,0.6433821292863656,0.7077202371832003,0.8711492233732057,-0.7581448437533597
ORD-101743,2023-01-17,2023-01-22,South,Telangana,Hyderabad,Online,Home Office,Office Supplies,Paper,Printer Paper,4,90.35,54.08,0.1,108.5,15,0,4.1,361.4,-0.9631200159495146,-0.9469497842015725,1.4005267579522263,-0.42561059060481815
ORD-101782,2023-01-18,2023-01-24,South,Tamil Nadu,Chennai,Online,Consumer,Furniture,Tables,Standing Desk,3,230.3,151.49,0.1,97.01,16,0,3.8,690.9000000000001,-0.6446188469089119,-0.6061857106643828,1.0380388037023487,-0.2593434640305474
ORD-100820,2023-01-18,2023-01-22,South,Telangana,Hyderabad,Retail Store,Consumer,Furniture,Chairs,Ergonomic Chair,7,89.38,71.4,0.05,71.44,16,1,3.4,625.66,-0.9653275624587635,-0.8863601758075254,0.23135325190344766,-0.2593434640305474
